235	2	75.38
265	3	85.9       
285	2	77.801     
325	3	93.2      
375	4	124.98
395	2	88.53
395	2	101.3
395	2	112
395	2	119.799
395	4	143.994
395	3	113.39
400	4	143.97
401	3	102.08
401	2	116.4
401	3	116.66
401	3	128.922
401	4	137.752
401	4	168.788
415	3	100.35
416	4	145.912
418	4	155
430	3	114.7
435	4	133.322
435	4	170.4
438	4	118
438	3	142
445	3	127
445	3	134.8
445	3	122.5
445	3	127.77
451	3	131.7
451	4	159
453	3	126.5
455	4	99.8
455	3	119.2
465	2	104.8
465	3	132.7
465	3	132.999
465	3	129.785
465	4	163.952
470	3	138.75
480	3	129.998
495	4	135
495	3	138.993
495	3	140
498	4	138
498	4	158
506	4	181.892
525	4	153.945
535	4	149
535	4	157.9
545	4	167
545	4	159.6
565	4	169.8
600	4	170.5
680	4	172.8
700	4	165.3
